Category,Question
Family,"Waktu kecil dulu, apa permainan atau kegiatan bareng temen rumah yang paling bikin kangen?"
Family,"Kalau kamu lagi punya kabar bahagia atau sedih, siapa orang pertama yang paling pengen kamu hubungin?"
Family,"Apa sebutan atau nama panggilan paling absurd yang pernah kamu dapet dari keluarga atau temen?"
Family,"Mama sama papa kamu tuh orangnya gimana sih? ada gaa yang karakternya nurun ke kamu?"
Family,"Waktu masih sekolah dulu, tempat nongkrong mana yang paling sering kamu dan temen-temen datengin sepulang sekolah?"
Family,"Apa momen liburan atau kumpul paling berkesan sama sahabat sejauh ini, yang jadi kayak core memories gitu deh !"
Family,"Dulu pas masih sekolah, pernah ikut ekskul apa dan kenapa milih ekskul itu ?"
Occupation,"Apa hal paling seru/menyenangkan yang sempat kamu lakuin atau terjadi di tempat kerja minggu ini?"
Occupation,"Kalau lagi jenuh banget sama rutinitas harian, biasanya kamu ngapain buat refreshing? semisal nonton atau olahraga atau bengong aja di taman"
Occupation,"Menurut kamu apa hal yang paling seru dan paling skip dari kantor sekarang ?"
Occupation,"Kamu di Kantor punya ""julukan"" atau panggilan tertentu ga dari temen-temen kantor ?"
Occupation,"Kalau disuruh cari 1 kata yang menggambarkan kantor kamu banget, kata apa dan kenapa ?"
Recreation,"Kamu kalau weekend biasanya ngapain aja atau kemana, tipe yang di kos/rumah aja atau yang punya aktivitas ke luar juga ?"
Recreation,"Genre musik atau judul musik apa yang lagi into banget atau sering kamu dengerin berulang belakangan ini ?"
Recreation,"Sejauh ini, apa tempat liburan yang paling berkesan yang pernah kamu datengin ?"
Recreation,"Apa rekomendasi makanan yang menurut kamu paling enak worth it buat dicobain sama orang-orang ?"
Recreation,"Apa film, serial, atau buku terakhir yang saking bagusnya sampai bikin kamu kepikiran terus akhir-akhir ini?"
Recreation,"Apa film atau lagu atau buku yang sejauh ini berhasil ngerubah perspektif kamu soal sesuatu ?"
Recreation,"Aktivitas apa yang pengen banget kamu lakuin tapi sampai sekarang belum kesampean ?"
Recreation,"Kalau tiba-tiiba dikasih libur panjang nih dari kantor, tempat apa yang paling pengen kamu kunjungin ?"
Dreams,"Apa negara atau kota impian yang masuk ke dalam bucket-list buat kamu kunjungin dan kenapa ?"
Dreams,"Kalau semisal uang tidak lagi penting, pekerjaan impian apa yang akan kamu ambil ?"
Dreams,"Apa cita-cita atau impian pas waktu kamu SD yang kalau diingat-ingat sekarang malah bikin ketawa"
Dreams,"Hal baik apa saja yang kamu harapkan dapat terwujud dalam 1 minggu ke depan ?"
Dreams,"Ada ga sih film atau konser yang lagi kamu tunggu-tunggu banget buat rilis/show di Indonesia ?"
Dreams,"Kalau kamu bisa bertukar kehidupan dengan satu tokoh fiksi, kamu pengen jadi siapa ?"
Dreams,"Kalau ada orang yang pengen nulisin biografi kamu 5 tahun ke depan, apa satu hal yang menurut kamu wajib ada di buku itu ?"
Dreams,"Kalau kamu tiba-tiba jadi presiden, apa kebijakan lucu-lucu yang bakal kamu buat ?"
