Category,Question,Acknowledge_Template,Relate_Template,Ask_Template
Family,"Waktu kecil dulu, apa permainan atau kegiatan bareng temen rumah yang paling bikin kangen?",Wah seru banget! Aku langsung kebayang suasana sore-sore pas main [nama permainan dari cerita lawan bicara]...,Kalau aku dulu pas kecil paling kangen momen pas main [nama permainan versi kamu] bareng temen kompleks sampai dicariin orang tua karena lupa waktu.,"Kalau di tempatmu dulu, biasanya ada taruhan atau hukuman lucu gitu nggak sih buat yang kalah main?"
Family,"Kalau kamu lagi punya kabar bahagia atau sedih, siapa orang pertama yang paling pengen kamu hubungin?","Pilihan yang bagus sih, emang orang kayak [sosok dari cerita lawan bicara] itu paling nyaman buat diajak berbagi [cerita/isi hati]...","Kalau di posisiku, orang pertama yang bakal aku cari itu [sosok versi kamu, misal: ibu/sahabat], karena dia tipe yang bisa langsung bikin aku [merasa tenang/ikut seneng].","Biasanya kamu tipe yang langsung telepon saat itu juga, atau nunggu ketemu langsung baru cerita?"
Family,Apa sebutan atau nama panggilan paling absurd yang pernah kamu dapet dari keluarga atau temen?,"Hahaha asli itu absurd banget! Tapi kocak sih, justru panggilan kayak [nama panggilan lawan bicara] itu yang bikin akrab.",Aku juga pernah dipanggil [nama panggilan versi kamu] sama temen dekat gara-gara dulu pas [sekolah/kejadian lucu] pernah [cerita singkat kejadiannya].,"Panggilan itu sampai sekarang masih sering dipakai kalau lagi kumpul, atau cuma cerita masa lalu aja?"
Family,Mama sama papa kamu tuh orangnya gimana sih? ada gaa yang karakternya nurun ke kamu?,"Seru ya dengar ceritanya, pantesan sifat kamu ada mirip-miripnya sama [mama/papa] kamu...","Kalau di keluargaku, [mama/papa] itu orangnya cenderung [sifat orang tua, misal: santai tapi tegas], dan sifat itu nurun banget ke aku dalam hal [sifat kamu, misal: cara ambil keputusan].","Sifat mirip itu sering bikin kalian kompak pas lagi ngobrol bareng, atau malah sering debat lucu?"
Family,"Waktu masih sekolah dulu, tempat nongkrong mana yang paling sering kamu dan temen-temen datengin sepulang sekolah?","Klasik banget tempatnya! Tapi emang bener, tempat kayak [tempat nongkrong lawan bicara] itu spot paling pas buat rilis penat abis belajar.","Dulu pas sekolah, aku dan temen-temen paling sering ngetem di [tempat nongkrong versi kamu] cuma buat [aktivitas, misal: jajan es/main game] sampai sore.",Sampai sekarang kamu masih suka iseng lewat atau mampir ke sana lagi nggak kalau lagi senggang?
Family,"Apa momen liburan atau kumpul paling berkesan sama sahabat sejauh ini, yang jadi kayak core memories gitu deh !","Wah, denger ceritanya aja udah kerasa kalau itu bakal jadi core memory yang ga bakal terlupakan sih.",Aku ada satu momen mirip waktu bareng sahabat pas lagi [acara/liburan ke...]. Waktu itu kita sempat [kejadian paling berkesan/konyol bersama].,Kira-kira dalam waktu dekat ada rencana buat bikin agenda kumpul atau trip bareng lagi kayak gitu nggak?
Family,"Dulu pas masih sekolah, pernah ikut ekskul apa dan kenapa milih ekskul itu ?","Oalah ikut [ekskul lawan bicara], pantesan kamu keliatan punya bakat/jiwa di bidang [bidang terkait, misal: olahraga/organisasi]...","Kalau aku dulu nyasar ke ekskul [ekskul versi kamu], alasan utamanya sebenarnya simpel banget, cuma karena [alasan kamu, misal: diajak temen/pengen dapet nilai tambahan].","Dari pengalaman ekskul itu, ada gaa skill atau kebiasaan yang masih kebawa bermanfaat sampai dunia kerja sekarang?"
Occupation,Apa hal paling seru/menyenangkan yang sempat kamu lakuin atau terjadi di tempat kerja minggu ini?,"Asyik banget ya, emang seru banget kalau dapet momen [momen seru dari cerita] kayak gitu di kantor...","Kalau di tempatku minggu ini hal paling nyenengin itu pas [kejadian seru versi kamu], rasanya lumayan bikin semangat kerja.","Btw, hal seru itu bakal berefek panjang sampai minggu depan nggak menurutmu?"
Occupation,"Kalau lagi jenuh banget sama rutinitas harian, biasanya kamu ngapain buat refreshing? semisal nonton atau olahraga atau bengong aja di taman","Bener banget, emang kalau lagi jenuh tuh paling pas kalau dipake buat [kegiatan refreshing lawan bicara] biar otak seger lagi.","Aku sendiri kalau udah jenuh maksimal biasanya langsung [kegiatan kamu, misal: pesen kopi/dengerin musik] sambil bengong santai.",Biasanya kamu kalau ngelakuin itu lebih suka sendirian atau ngajak temen biar lebih rame?
Occupation,Menurut kamu apa hal yang paling seru dan paling skip dari kantor sekarang ?,"Wah kerasa banget ya bedanya, bagian [bagian skip dari cerita] emang bikin males banget sih...","Kalau di kantorku sekarang, yang paling seru tuh pas [hal seru versi kamu], tapi bagian yang paling skip emang pas [hal skip versi kamu].",Kira-kira ada gaa cara atau tips dari kamu buat ngatasin bagian yang bikin malas atau skip itu?
