"No,Pertanyaan,Fase,Sub-Tag"
"1,Es kopi susu atau teh manis dingin pas cuaca lagi panas banget?,PDKT,Fun"
"2,Makanan apa yang kamu suka banget tapi anehnya orang-orang pada nggak suka?,PDKT,Random"
"3,Tim makan bubur diaduk atau nggak diocok?,PDKT,Fun"
"4,Kalau lagi stres makanan apa yang biasanya jadi comfort food kamu?,PDKT,Deep"
"5,Lebih suka explore tempat makan baru atau makan di tempat langganan yang udah pasti enak?,PDKT,Fun"
"6,Kalau disuruh milih mending puasa gorengan atau puasa makanan manis sebulan?,PDKT,Random"
"7,Punya alergi atau pantangan makanan tertentu nggak?,PDKT,Deep"
"8,Suka masak sendiri atau lebih sering jajan lewat ojek online?,PDKT,Fun"
"9,Mie instan kuah atau goreng? Dan apa topping wajibnya?,PDKT,Fun"
"10,Kalau lagi first date menu makanan apa yang menurutmu paling aman dipesan biar nggak ribet makannya?,PDKT,Fun"
"11,Kamu tipe morning person atau night owl?,PDKT,Fun"
"12,Kalau weekend lebih suka rebahan aja di rumah atau wajib keluar jalan-jalan?,PDKT,Fun"
"13,Lebih milih rumah yang ukurannya kecil tapi dekat banget sama kantor atau rumah luas tapi jalan berangkatnya jauh?,PDKT,Deep"
"14,Punya rutinitas wajib yang harus dilakuin setiap pagi nggak?,PDKT,Fun"
"15,Kalau alarm HP bunyi langsung bangun atau pencet snooze lima kali dulu?,PDKT,Random"
"16,Suka pakai aplikasi produktivitas buat ngatur jadwal atau tipe yang ngalir aja ngikutin mood?,PDKT,Fun"
"17,Gimana caramu ngadepin macet panjang pas lagi capek pulang kerja?,PDKT,Deep"
"18,Kamu tipe yang isi dompetnya rapi atau struk belanjaan nyampur sama uang kertas?,PDKT,Random"
"19,Lebih suka mencatat pengeluaran secara rutin atau tipe yang yang penting saldo masih cukup?,PDKT,Deep"
"20,Kalau lagi rumah sendirian dan nggak ada kerjaan hal apa yang paling sering kamu lakuin?,PDKT,Random"
"21,Tontonan apa yang terakhir kali bikin kamu ketagihan sampai binge-watching?,PDKT,Fun"
"22,Lebih suka nonton film di bioskop yang layarnya gede atau di kamar sambil tiduran?,PDKT,Fun"
"23,Ada penyanyi atau band yang lagunya selalu masuk playlist harianmu akhir-akhir ini?,PDKT,Fun"
"24,Kalau diajak karaoke bareng temen lagu apa yang wajib banget kamu nyanyiin?,PDKT,Fun"
"25,Punya hobi yang baru-baru ini lagi sering banget kamu lakuin?,PDKT,Fun"
"26,Suka baca buku/artikel nggak? Kalau iya topik apa yang paling kamu suka?,PDKT,Deep"
"27,Punya anabul di rumah nggak? Kalau disuruh milih kamu tim anjing atau tim kucing?,PDKT,Random"
"28,Lebih suka main game di HP buat ngisi waktu luang atau malah jarang main game?,PDKT,Fun"
"29,Kalau lagi butuh waktu sendiri (me time) biasanya kamu pergi ke mana?,PDKT,Deep"
"30,Ada konser pameran atau event impian yang pengen banget kamu datengin tahun ini?,PDKT,Deep"
"31,Dulu waktu kecil cita-citamu pengen jadi apa? Masih nyambung nggak sama kerjaan sekarang?,PDKT,Deep"
"32,Jajanan SD apa yang sampai sekarang masih sering kamu kangenin?,PDKT,Fun"
"33,Pernah punya potongan rambut yang menurutmu super aneh pas zaman sekolah?,PDKT,Random"
"34,Apa kebohongan paling lucu yang pernah kamu percaya pas masih kecil?,PDKT,Random"
"35,Tontonan hari Minggu pagi apa yang dulu wajib banget kamu tonton?,PDKT,Fun"
"36,Kalau ingat zaman SMP/SMA tren apa yang pernah kamu ikutin dan sekarang bikin ketawa sendiri?,PDKT,Random"
"37,Pelajaran apa yang dulu paling bikin kamu ngantuk pas sekolah?,PDKT,Fun"
"38,Dulu kamu tipe murid yang duduk di depan merhatiin guru atau yang di belakang suka ketiduran?,PDKT,Random"
"39,Pernah ikut lomba 17-an di lingkungan rumah dan menang nggak?,PDKT,Fun"
"40,Apa mainan masa kecil yang paling berkesan dan sering kamu mainin bareng temen?,PDKT,Fun"
"41,Mending lupa bawa dompet atau lupa bawa HP pas lagi keluar rumah?,PDKT,Random"
"42,Lebih milih kepanasan tapi di ruangan ber-AC atau jalan-jalan tapi cuacanya lagi mendung syahdu?,PDKT,Fun"
